Device,App package,App name,Start time,Start time ms,Duration ms
Redmi Note 8 Pro,"com.miui.home","Systemowy menadżer pulpitu","Sat Dec 11 17:53:38 GMT+01:00 2021",1639241618492,1353
Redmi Note 8 Pro,"com.miui.notes","Notatki","Sat Dec 11 17:53:39 GMT+01:00 2021",1639241619848,55955
Redmi Note 8 Pro,"com.miui.notes","Notatki","Sat Dec 11 17:54:56 GMT+01:00 2021",1639241696133,15854
Redmi Note 8 Pro,"com.miui.notes","Notatki","Sat Dec 11 17:59:11 GMT+01:00 2021",1639241951743,1404
Redmi Note 8 Pro,"com.miui.home","Systemowy menadżer pulpitu","Sat Dec 11 17:59:13 GMT+01:00 2021",1639241953148,2522
Redmi Note 8 Pro,"com.google.android.dialer","Telefon","Sat Dec 11 17:59:15 GMT+01:00 2021",1639241955720,204088
Redmi Note 8 Pro,"com.google.android.dialer","Telefon","Sat Dec 11 18:15:00 GMT+01:00 2021",1639242900739,3049
Redmi Note 8 Pro,"com.miui.home","Systemowy menadżer pulpitu","Sat Dec 11 18:15:03 GMT+01:00 2021",1639242903789,6672
Redmi Note 8 Pro,"com.android.camera","Aparat","Sat Dec 11 18:15:10 GMT+01:00 2021",1639242910467,154999
Redmi Note 8 Pro,"com.miui.home","Systemowy menadżer pulpitu","Sat Dec 11 18:17:45 GMT+01:00 2021",1639243065467,12104
Redmi Note 8 Pro,"com.facebook.orca","Messenger","Sat Dec 11 18:17:57 GMT+01:00 2021",1639243077626,214655
Redmi Note 8 Pro,"com.miui.home","Systemowy menadżer pulpitu","Sat Dec 11 18:20:57 GMT+01:00 2021",1639243257131,1099
Redmi Note 8 Pro,"com.miui.home","Systemowy menadżer pulpitu","Sat Dec 11 18:21:32 GMT+01:00 2021",1639243292282,1043
Redmi Note 8 Pro,"com.miui.home","Systemowy menadżer pulpitu","Sat Dec 11 18:23:24 GMT+01:00 2021",1639243404686,47628
Redmi Note 8 Pro,"com.miui.notes","Notatki","Sat Dec 11 18:24:12 GMT+01:00 2021",1639243452315,21281
Redmi Note 8 Pro,"com.miui.notes","Notatki","Sat Dec 11 18:26:33 GMT+01:00 2021",1639243593281,43061
Redmi Note 8 Pro,"com.miui.notes","Notatki","Sat Dec 11 18:27:30 GMT+01:00 2021",1639243650314,6853
Redmi Note 8 Pro,"com.miui.notes","Notatki","Sat Dec 11 18:28:56 GMT+01:00 2021",1639243736106,26781
Redmi Note 8 Pro,"com.miui.notes","Notatki","Sat Dec 11 18:31:54 GMT+01:00 2021",1639243914729,29541
Redmi Note 8 Pro,"com.miui.notes","Notatki","Sat Dec 11 18:33:16 GMT+01:00 2021",1639243996068,27899
Redmi Note 8 Pro,"com.miui.notes","Notatki","Sat Dec 11 18:37:01 GMT+01:00 2021",1639244221412,29635
Redmi Note 8 Pro,"com.miui.notes","Notatki","Sat Dec 11 18:39:55 GMT+01:00 2021",1639244395632,10629
Redmi Note 8 Pro,"com.miui.home","Systemowy menadżer pulpitu","Sat Dec 11 18:40:06 GMT+01:00 2021",1639244406262,1128
Redmi Note 8 Pro,"com.facebook.orca","Messenger","Sat Dec 11 18:40:07 GMT+01:00 2021",1639244407392,6261
Redmi Note 8 Pro,"com.miui.home","Systemowy menadżer pulpitu","Sat Dec 11 18:40:13 GMT+01:00 2021",1639244413654,1530
Redmi Note 8 Pro,"com.miui.home","Systemowy menadżer pulpitu","Sat Dec 11 18:42:41 GMT+01:00 2021",1639244561213,1594
